,%polar,total sasa,apolar,polar,,,,,,,,,,,,,,,
126,7.30354,150.021,139.064,10.9569,,,,,,,,,,,,,,,
127,14.0334,428.103,368.025,60.0776,,,,,,,,,,,,,,,
128,21.7739,351.475,274.945,76.5298,,,,,,,,,,,,,,,
129,7.45189,144.582,133.808,10.7741,,,,,,,,,,,,,,,
130,18.5391,349.775,284.93,64.8449,,,,,,,,,,,,,,,
131,0,213.809,213.809,0,,,,,,,,,,,,,,,
132,12.6125,435.606,380.666,54.9407,,,,,,,,,,,,,,,
133,5.93191,173.925,163.608,10.3171,,,,,,,,,,,,,,,
134,25.9297,290.817,215.409,75.408,,,,,,,,,,,,,,,
135,13.1032,149.844,130.209,19.6344,,,,,,,,,,,,,,,
136,29.651,257.95,181.465,76.4849,,,,,,,,,,,,,,,
137,17.0848,440.986,365.644,75.3415,,,,,,,,,,,,,,,
138,28.7479,268.69,191.447,77.2429,,,,,,,,,,,,,,,
139,0,164.622,164.622,0,,,,,,,,,,,,,,,
140,6.05923,173.737,163.21,10.5271,,,,,,,,,,,,,,,
141,10.4906,440.348,394.153,46.1952,,,,,,,,,,,,,,,
142,11.1646,421.216,374.189,47.0273,,,,,,,,,,,,,,,
143,17.2307,223.34,184.857,38.483,,,,,,,,,,,,,,,
144,0,177.424,177.424,0,,,,,,,,,,,,,,,
145,15.1807,447.369,379.455,67.9139,,,,,,,,,,,,,,,
146,8.13461,131.067,120.405,10.6618,,,,,,,,,,,,,,,
147,10.2295,210.976,189.394,21.5818,,,,,,,,,,,,,,,
148,17.5884,151.04,124.474,26.5655,,,,,,,,,,,,,,,
149,18.5558,227.572,185.344,42.2279,,,,,,,,,,,,,,,
150,17.5311,224.982,185.54,39.4418,,,,,,,,,,,,,,,
151,8.19293,130.487,119.796,10.6907,,,,,,,,,,,,,,,
152,15.2645,125.106,106.009,19.0968,,,,,,,,,,,,,,,
153,0,79.0548,79.0548,0,,,,,,,,,,,,,,,
154,24.841,271.466,204.031,67.4348,,,,,,,,,,,,,,,
155,47.7699,148.395,77.5069,70.8882,,,,,,,,,,,,,,,
156,27.2014,281.281,204.768,76.5124,,,,,,,,,,,,,,,
157,32.5851,234.88,158.344,76.536,,,,,,,,,,,,,,,
158,1.68922,394.153,387.495,6.65809,,,,,,,,,,,,,,,
159,27.0711,278.269,202.939,75.3305,,,,,,,,,,,,,,,
160,0,104.018,104.018,0,,,,,,,,,,,,,,,
161,16.1628,331.285,277.74,53.5447,,,,,,,,,,,,,,,
162,12.3005,473.697,415.43,58.2672,,,,,,,,,,,,,,,
163,12.9047,148.259,129.126,19.1323,,,,,,,,,,,,,,,
164,23.4098,309.12,236.755,72.3645,,,,,,,,,,,,,,,
165,39.0131,181.709,110.819,70.8902,,,,,,,,,,,,,,,
166,18.1003,304.365,249.274,55.0911,,,,,,,,,,,,,,,
167,8.19346,230.438,211.557,18.8808,,,,,,,,,,,,,,,
168,14.1213,316.826,272.086,44.7401,,,,,,,,,,,,,,,
169,23.3444,238.231,182.617,55.6136,,,,,,,,,,,,,,,
170,13.1348,148.117,128.662,19.4548,,,,,,,,,,,,,,,
171,26.9506,278.541,203.472,75.0683,,,,,,,,,,,,,,,
172,23.0131,326.922,251.687,75.2349,,,,,,,,,,,,,,,
173,35.779,55.5208,35.656,19.8648,,,,,,,,,,,,,,,
174,20.3625,360.813,287.343,73.4706,,,,,,,,,,,,,,,
175,20.9831,282.942,223.572,59.3701,,,,,,,,,,,,,,,
176,15.878,303.399,255.226,48.1736,,,,,,,,,,,,,,,
177,8.27821,316.404,290.211,26.1925,,,,,,,,,,,,,,,
178,17.3908,248.183,205.022,43.161,,,,,,,,,,,,,,,
179,11.6768,283.598,250.482,33.1152,,,,,,,,,,,,,,,
180,20.8509,128.722,101.883,26.8397,,,,,,,,,,,,,,,
181,8.50409,127.786,116.919,10.8671,,,,,,,,,,,,,,,
182,9.80979,106.462,96.0185,10.4437,,,,,,,,,,,,,,,
183,9.1487,545.408,495.51,49.8978,,,,,,,,,,,,,,,
184,38.7356,228.052,139.715,88.3374,,,,,,,,,,,,,,,
185,39.8242,194.109,116.807,77.3024,,,,,,,,,,,,,,,
186,11.7313,141.458,124.863,16.5948,,,,,,,,,,,,,,,
187,14.1484,459.856,394.794,65.0623,,,,,,,,,,,,,,,
188,11.2211,328.422,291.57,36.8526,,,,,,,,,,,,,,,
189,15.5372,126.423,106.781,19.6426,,,,,,,,,,,,,,,
190,26.7542,168.933,123.736,45.1966,,,,,,,,,,,,,,,
191,22.8376,262.121,202.259,59.8621,,,,,,,,,,,,,,,
192,56.9506,158.758,68.3445,90.4139,,,,,,,,,,,,,,,
193,0,97.0585,97.0585,0,,,,,,,,,,,,,,,
194,14.5953,243.054,207.579,35.4745,,,,,,,,,,,,,,,
195,12.2576,226.941,199.123,27.8174,,,,,,,,,,,,,,,
196,29.993,207.249,145.089,62.1601,,,,,,,,,,,,,,,
197,25.4876,197.329,147.034,50.2944,,,,,,,,,,,,,,,
198,14.7466,355.713,303.258,52.4556,,,,,,,,,,,,,,,
199,20.7428,317.577,251.702,65.8741,,,,,,,,,,,,,,,
200,9.2288,212.126,192.549,19.5767,,,,,,,,,,,,,,,
201,0,82.9249,82.9249,0,,,,,,,,,,,,,,,
202,15.1533,334.074,283.45,50.6231,,,,,,,,,,,,,,,
203,24.091,248.458,188.602,59.856,,,,,,,,,,,,,,,
204,14.1666,117.74,101.061,16.6798,,,,,,,,,,,,,,,
205,16.2324,400.129,335.179,64.9507,,,,,,,,,,,,,,,
206,20.6835,314.15,249.173,64.9772,,,,,,,,,,,,,,,
207,12.4996,222.57,194.75,27.8203,,,,,,,,,,,,,,,
208,10.5964,254.611,227.632,26.9795,,,,,,,,,,,,,,,
209,0,126.243,126.243,0,,,,,,,,,,,,,,,
210,0,85.7377,85.7377,0,,,,,,,,,,,,,,,
211,25.4041,405.197,302.26,102.937,,,,,,,,,,,,,,,
212,14.3113,273.413,234.284,39.129,,,,,,,,,,,,,,,
213,15.0984,229.053,194.469,34.5834,,,,,,,,,,,,,,,
214,7.73245,402.335,371.225,31.1104,,,,,,,,,,,,,,,
215,25.7576,104.942,77.9113,27.0306,,,,,,,,,,,,,,,
216,19.429,337.96,272.297,65.6623,,,,,,,,,,,,,,,
217,18.743,307.444,249.82,57.6243,,,,,,,,,,,,,,,
218,30.4447,291.863,203.006,88.8566,,,,,,,,,,,,,,,
